Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Oct 2020,MOZ,30066648,Cabo Delgado,2020-10-01,2020-12-31,2268535,579272,0.25,629285,0.28,1059978,0.47,438727,0.19,140545,0.06,0,0,2021-01-01,2021-03-31,2268535,665580,0.29,602167,0.27,1000788,0.44,525035,0.23,140545,0.06,0,0,2021-04-01,2021-09-30,2268535,768981,0.34,592140,0.26,907414,0.4,542127,0.24,226854,0.1,0,0
Oct 2020,MOZ,30066648,Gaza,2020-10-01,2020-12-31,951550,274223,0.29,234371,0.25,442956,0.47,240840,0.25,33383,0.04,0,0,2021-01-01,2021-03-31,951550,274223,0.29,234371,0.25,442956,0.47,240840,0.25,33383,0.04,0,0,2021-04-01,2021-09-30,951550,107072,0.11,355150,0.37,489328,0.51,107072,0.11,0,0,0,0
Oct 2020,MOZ,30066648,Inhambane,2020-10-01,2020-12-31,1317824,278663,0.21,446236,0.34,592925,0.45,190028,0.14,88635,0.07,0,0,2021-01-01,2021-03-31,1317824,278663,0.22,446236,0.34,592925,0.45,231268,0.18,47394,0.04,0,0,2021-04-01,2021-09-30,1317824,87489,0.07,528275,0.4,702060,0.53,87489,0.07,0,0,0,0
Oct 2020,MOZ,30066648,Manica,2020-10-01,2020-12-31,1851931,167026,0.09,666343,0.36,1018562,0.55,167026,0.09,0,0,0,0,2021-01-01,2021-03-31,1851931,167026,0.09,666343,0.36,1018562,0.55,167026,0.09,0,0,0,0,2021-04-01,2021-09-30,1851931,88963,0.05,889632,0.48,873336,0.47,88963,0.05,0,0,0,0
Oct 2020,MOZ,30066648,Maputo,2020-10-01,2020-12-31,1908078,271429,0.14,757002,0.4,879648,0.46,271429,0.14,0,0,0,0,2021-01-01,2021-03-31,1908078,303972,0.16,718228,0.38,885877,0.46,303972,0.16,0,0,0,0,2021-04-01,2021-09-30,1908078,125672,0.07,838360,0.44,944046,0.49,125672,0.07,0,0,0,0
Oct 2020,MOZ,30066648,Zambezia,2020-10-01,2020-12-31,2283025,131643,0.06,1062345,0.47,1089036,0.48,131643,0.06,0,0,0,0,2021-01-01,2021-03-31,2283025,228303,0.1,1062345,0.47,992377,0.43,228303,0.1,0,0,0,0,2021-04-01,2021-09-30,2283025,56156,0.02,1159005,0.51,1067865,0.47,56156,0.02,0,0,0,0
Oct 2020,MOZ,30066648,Niassa,2020-10-01,2020-12-31,1109536,154320,0.14,455925,0.41,499291,0.45,110954,0.1,43367,0.04,0,0,2021-01-01,2021-03-31,1109536,154320,0.14,455925,0.41,499291,0.45,110954,0.1,43367,0.04,0,0,2021-04-01,2021-09-30,1109536,55477,0.05,716124,0.65,337935,0.3,55477,0.05,0,0,0,0
Oct 2020,MOZ,30066648,Nampula,2020-10-01,2020-12-31,1836670,129844,0.07,826502,0.45,880324,0.48,129844,0.07,0,0,0,0,2021-01-01,2021-03-31,1836670,129844,0.07,826502,0.45,880324,0.48,129844,0.07,0,0,0,0,2021-04-01,2021-09-30,1836670,76629,0.04,1203261,0.66,556780,0.3,76629,0.04,0,0,0,0
Oct 2020,MOZ,30066648,Maputo City,2020-10-01,2020-12-31,1080277,183647,0.17,248464,0.23,648166,0.6,183647,0.17,0,0,0,0,2021-01-01,2021-03-31,1080277,183647,0.17,248464,0.23,648166,0.6,183647,0.17,0,0,0,0,2021-04-01,2021-09-30,1080277,108028,0.1,432111,0.4,540139,0.5,108028,0.1,0,0,0,0
Jun 2020,MOZ,30066648,Maputo e Matola,2020-06-01,2020-09-30,2429263,364389,0.15,1336095,0.55,728779,0.3,364389,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2020,MOZ,30066648,Tete,2019-10-01,2020-03-31,822834,238108,0.29,259196,0.32,325530,0.4,206104,0.25,32004,0.04,0,0,2020-04-01,2020-09-30,830299,129350,0.16,361381,0.44,339568,0.41,129350,0.16,0,0,0,0,2020-10-01,2020-11-30,830299,240101,0.29,291088,0.34,299110,0.36,204834,0.25,35267,0.04,0,0
May 2020,MOZ,30066648,Cabo Delgado,2019-10-01,2020-03-31,267113,45067,0.17,127557,0.48,94490,0.35,45067,0.17,0,0,0,0,2020-04-01,2020-09-30,267113,6000,0.02,203690,0.76,57423,0.21,6000,0.02,0,0,0,0,2020-10-01,2020-11-30,267113,45067,0.17,127557,0.47,94490,0.35,42067,0.16,3000,0.01,0,0
Jun 2019,MOZ,27909798,Cabo Delgado,2019-04-01,2019-09-30,736277,165304,0.23,337021,0.46,233952,0.32,146882,0.2,18423,0.03,0,0,2019-10-01,2020-02-29,736277,202200,0.27,272206,0.37,261871,0.36,178609,0.24,23592,0.03,0,0,,,,,,,,,,,,,,,
Jun 2019,MOZ,27909798,Centro,2019-04-01,2019-09-30,3252358,883554,0.27,1127584,0.35,1241221,0.38,750561,0.23,132992,0.04,0,0,2019-10-01,2020-02-29,3252358,1117016,0.34,1093876,0.34,1041466,0.32,917610,0.28,199406,0.06,0,0,,,,,,,,,,,,,,,
Jun 2019,MOZ,27909798,Sul,2019-04-01,2019-09-30,995326,309188,0.31,413477,0.42,272661,0.27,271934,0.27,37254,0.04,0,0,2019-10-01,2020-02-29,995326,370192,0.37,327883,0.33,297251,0.3,328397,0.33,41796,0.04,0,0,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Tete,2018-04-01,2018-09-30,1325421,305121,0.23,689542,0.52,330758,0.25,231204,0.17,73917,0.06,0,0,,,1296855,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Inhambane,2018-04-01,2018-09-30,447201,63044,0.16,284049,0.6,100108,0.24,42758,0.12,20286,0.04,0,0,,,465410,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Cabo Delgado,2018-04-01,2018-09-30,1024856,124841,0.12,693338,0.68,206677,0.2,115065,0.11,9776,0.01,0,0,,,748612,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Manica,2018-04-01,2018-09-30,48648,7784,0.16,29189,0.6,11676,0.24,5838,0.12,1946,0.04,0,0,,,51199,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Sofala,2018-04-01,2018-09-30,826674,84243,0.1,505094,0.61,237337,0.29,52791,0.06,31452,0.04,0,0,,,699851,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Gaza,2018-04-01,2018-09-30,536032,178482,0.33,199352,0.37,158198,0.3,156455,0.29,22027,0.04,0,0,,,566434,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,MOZ,30528673,Zambezia,2018-04-01,2018-09-30,999464,127540,0.13,664859,0.66,207065,0.21,117545,0.12,9995,0.01,0,0,,,1063251,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Zambezia,2017-06-01,2017-09-30,3927255,0,0,3835750,0.98,91505,0.02,0,0,0,0,0,0,2017-10-01,2018-03-31,3927255,34872,0.01,3702434,0.94,44722,0.01,34872,0.01,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Cabo Delgado,2017-06-01,2017-09-30,1450458,0,0,1439542,0.99,10916,0.01,0,0,0,0,0,0,2017-10-01,2018-03-31,1450458,9883,0.01,1418743,0.98,21832,0.01,9883,0.01,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Nampula,2017-06-01,2017-09-30,3495690,0,0,3459476,0.99,36214,0.01,0,0,0,0,0,0,2017-10-01,2018-03-31,3495690,0,0,3437747,0.98,57943,0.02,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Tete,2017-06-01,2017-09-30,2352776,0,0,2261996,0.96,90779,0.04,0,0,0,0,0,0,2017-10-01,2018-03-31,2352776,65917,0.03,2181152,0.93,82331,0.03,65917,0.03,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Manica,2017-06-01,2017-09-30,1583754,0,0,1580759,1,2995,0,0,0,0,0,0,0,2017-10-01,2018-03-31,1583754,7294,0,1574193,0.99,3359,0,7294,0,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Gaza,2017-06-01,2017-09-30,1467952,8646,0.01,1359563,0.93,99743,0.07,8646,0.01,0,0,0,0,2017-10-01,2018-03-31,1467952,58380,0.04,1336173,0.91,81905,0.06,58380,0.04,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Maputo,2017-06-01,2017-09-30,539223,0,0,520079,0.96,19144,0.04,0,0,0,0,0,0,2017-10-01,2018-03-31,539223,16735,0.03,507506,0.94,26355,0.05,16735,0.03,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Sofala,2017-06-01,2017-09-30,1388740,43263,0.04,1186222,0.85,160127,0.12,43263,0.04,0,0,0,0,2017-10-01,2018-03-31,1388740,30016,0.02,1192603,0.86,160919,0.12,30016,0.02,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Niassa,2017-06-01,2017-09-30,1367100,0,0,1329813,0.97,37288,0.03,0,0,0,0,0,0,2017-10-01,2018-03-31,1367100,8574,0.01,1295860,0.95,65281,0.05,8574,0.01,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,MOZ,26423623,Inhambane,2017-06-01,2017-09-30,1168156,0,0,1162574,1,5582,0,0,0,0,0,0,0,2017-10-01,2018-03-31,1168156,97777,0.08,1131310,0.97,9874,0.01,97777,0.08,0,0,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Cabo Delgado,2017-03-01,2017-04-30,535515,223407,0.42,209132,0.39,102977,0.19,198460,0.37,24947,0.05,0,0,2017-05-01,2017-09-30,535515,55997,0.1,308689,0.58,170829,0.32,55997,0.1,0,0,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Zambezia,2017-03-01,2017-04-30,434173,107520,0.25,156410,0.36,170243,0.39,104244,0.24,3276,0.01,0,0,2017-05-01,2017-09-30,434173,37454,0.09,148589,0.34,248130,0.57,37454,0.09,0,0,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Inhambane,2017-03-01,2017-04-30,105499,22683,0.22,46419,0.44,36397,0.35,20573,0.2,2110,0.02,0,0,2017-05-01,2017-09-30,105499,11608,0.11,26378,0.25,67513,0.64,11608,0.11,0,0,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Gaza,2017-03-01,2017-04-30,126161,26133,0.21,60191,0.48,39837,0.32,24871,0.2,1262,0.01,0,0,2017-05-01,2017-09-30,126161,12616,0.1,19295,0.15,94250,0.75,12616,0.1,0,0,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Nampula,2017-03-01,2017-04-30,769666,269881,0.35,318377,0.41,181408,0.24,228799,0.3,41082,0.05,0,0,2017-05-01,2017-09-30,769666,111725,0.15,481961,0.63,175981,0.23,106527,0.14,5198,0.01,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Sofala,2017-03-01,2017-04-30,381121,121253,0.32,148133,0.39,111735,0.29,113831,0.3,7422,0.02,0,0,2017-05-01,2017-09-30,381121,37601,0.1,173363,0.45,168361,0.44,33748,0.09,3853,0.01,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Tete,2017-03-01,2017-04-30,214968,44567,0.21,64437,0.3,105965,0.49,36178,0.17,8389,0.04,0,0,2017-05-01,2017-09-30,214968,21497,0.1,90443,0.42,103028,0.48,21497,0.1,0,0,0,0,,,,,,,,,,,,,,,
May 2017,MOZ,26423623,Manica,2017-03-01,2017-04-30,186802,43029,0.23,93242,0.5,50530,0.27,35622,0.19,7407,0.04,0,0,2017-05-01,2017-09-30,186802,19582,0.11,67321,0.36,99899,0.53,12658,0.07,6924,0.04,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Hodh El Chargi,2024-03-01,2024-05-31,446799,66015,0.15,248973,0.56,131811,0.3,66015,0.15,0,0,0,0,2024-06-01,2024-08-31,568433,124822,0.22,252192,0.44,191418,0.34,117968,0.21,6855,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Trarza,2024-03-01,2024-05-31,327199,28190,0.09,238833,0.73,60176,0.18,28190,0.09,0,0,0,0,2024-06-01,2024-08-31,327199,43122,0.14,201819,0.62,82257,0.25,41038,0.13,2085,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Inchiri,2024-03-01,2024-05-31,28909,2891,0.1,21393,0.74,4625,0.16,2891,0.1,0,0,0,0,2024-06-01,2024-08-31,28909,6360,0.22,16767,0.58,5782,0.2,6360,0.22,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Guidimakha,2024-03-01,2024-05-31,241223,20616,0.09,180424,0.75,40183,0.17,20616,0.09,0,0,0,0,2024-06-01,2024-08-31,346326,40877,0.12,209595,0.61,95854,0.28,40877,0.12,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Nouakchott,2024-03-01,2024-05-31,4581886,,,,,,,,,,,,,2024-06-01,2024-08-31,1418273,57101,0.04,1118419,0.79,242754,0.17,57101,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Tris-Zemmour,2024-03-01,2024-05-31,59534,8728,0.15,37795,0.63,13010,0.22,8728,0.15,0,0,0,0,2024-06-01,2024-08-31,59534,15094,0.25,32045,0.54,12396,0.21,14489,0.24,604,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Hodh El Gharbi,2024-03-01,2024-05-31,351967,48062,0.13,224378,0.64,79526,0.23,47282,0.13,781,0,0,0,2024-06-01,2024-08-31,351967,82270,0.23,172752,0.49,96945,0.28,78652,0.22,3618,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Gorgol,2024-03-01,2024-05-31,319542,39321,0.12,206767,0.65,73454,0.23,39321,0.12,0,0,0,0,2024-06-01,2024-08-31,401341,81961,0.2,196271,0.49,123109,0.31,76723,0.19,5238,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Assaba,2024-03-01,2024-05-31,310466,38605,0.12,193547,0.62,78314,0.25,38605,0.12,0,0,0,0,2024-06-01,2024-08-31,424985,96745,0.23,192439,0.45,135800,0.32,88980,0.21,7765,0.02,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Brakna,2024-03-01,2024-05-31,340644,33751,0.1,237054,0.7,69840,0.21,33751,0.1,0,0,0,0,2024-06-01,2024-08-31,340644,50824,0.15,197256,0.58,92564,0.27,49719,0.15,1105,0,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Adrar,2024-03-01,2024-05-31,60701,8611,0.14,36207,0.6,15883,0.26,8611,0.14,0,0,0,0,2024-06-01,2024-08-31,60701,13335,0.22,28382,0.47,18984,0.31,12958,0.21,377,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Tagant,2024-03-01,2024-05-31,87306,8891,0.1,62835,0.72,15580,0.18,8891,0.1,0,0,0,0,2024-06-01,2024-08-31,87306,19200,0.22,46550,0.53,21556,0.25,17904,0.21,1296,0.01,0,0,,,,,,,,,,,,,,,
Mar 2024,MRT,4581886,Dakhlet-Nouadhibou,2024-03-01,2024-05-31,166268,16627,0.1,108074,0.65,41567,0.25,16627,0.1,0,0,0,0,2024-06-01,2024-08-31,166268,24940,0.15,91447,0.55,49880,0.3,24940,0.15,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Hodh El Chargi,2023-11-01,2023-12-31,568433,33400,0.06,437035,0.77,97998,0.17,33400,0.06,0,0,0,0,2024-06-01,2024-08-31,568433,57629,0.1,370751,0.65,140053,0.25,57339,0.1,290,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Hodh El Gharbi,2023-11-01,2023-12-31,351967,20980,0.06,255362,0.73,75625,0.21,20980,0.06,0,0,0,0,2024-06-01,2024-08-31,351967,21676,0.06,252846,0.72,77445,0.22,21676,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Inchiri,2023-11-01,2023-12-31,28909,1735,0.06,21104,0.73,6071,0.21,1735,0.06,0,0,0,0,2024-06-01,2024-08-31,28909,867,0.03,25151,0.87,2891,0.1,867,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Brakna,2023-11-01,2023-12-31,340644,20671,0.06,275366,0.81,44607,0.13,20671,0.06,0,0,0,0,2024-06-01,2024-08-31,340644,30697,0.09,225450,0.66,84496,0.25,30697,0.09,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Adrar,2023-11-01,2023-12-31,60701,1695,0.03,50217,0.83,8788,0.14,1695,0.03,0,0,0,0,2024-06-01,2024-08-31,60701,3102,0.05,45246,0.75,12352,0.2,3102,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Nouakchott,2023-11-01,2023-12-31,1418273,39175,0.03,1223687,0.86,155411,0.11,39175,0.03,0,0,0,0,2024-06-01,2024-08-31,1418273,57101,0.04,1118419,0.79,242754,0.17,57101,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Assaba,2023-11-01,2023-12-31,424985,30040,0.07,329182,0.77,65763,0.15,30040,0.07,0,0,0,0,2024-06-01,2024-08-31,424985,51346,0.12,273820,0.64,99819,0.23,51139,0.12,206,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Tris-Zemmour,2023-11-01,2023-12-31,59534,779,0.01,50473,0.85,8283,0.14,779,0.01,0,0,0,0,2024-06-01,2024-08-31,59534,1523,0.03,48293,0.81,9718,0.16,1523,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Trarza,2023-11-01,2023-12-31,327199,6159,0.02,266677,0.82,54363,0.17,6159,0.02,0,0,0,0,2024-06-01,2024-08-31,327199,8337,0.03,260177,0.8,58684,0.18,8337,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Guidimakha,2023-11-01,2023-12-31,346326,20968,0.06,254566,0.74,70792,0.2,20968,0.06,0,0,0,0,2024-06-01,2024-08-31,346326,34470,0.1,211751,0.61,100105,0.29,34470,0.1,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Gorgol,2023-11-01,2023-12-31,401341,44649,0.11,253745,0.63,102948,0.26,44649,0.11,0,0,0,0,2024-06-01,2024-08-31,401341,68690,0.17,194626,0.48,138025,0.34,63873,0.16,4817,0.01,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Tagant,2023-11-01,2023-12-31,87306,9113,0.1,59980,0.69,18213,0.21,9113,0.1,0,0,0,0,2024-06-01,2024-08-31,87306,21047,0.24,40913,0.47,25346,0.29,19254,0.22,1793,0.02,0,0,,,,,,,,,,,,,,,
Nov 2023,MRT,4372039,Dakhlet-Nouadhibou,2023-11-01,2023-12-31,166268,3325,0.02,146316,0.88,16627,0.1,3325,0.02,0,0,0,0,2024-06-01,2024-08-31,166268,8313,0.05,126364,0.76,31591,0.19,8313,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Nouakchott,2023-03-01,2023-05-31,439658,3662,0.01,374868,0.85,61128,0.14,3662,0.01,0,0,0,0,2023-06-01,2023-08-31,439658,8058,0.02,355608,0.81,75991,0.17,8058,0.02,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Assaba,2023-03-01,2023-05-31,415083,41606,0.1,297393,0.72,76084,0.18,41606,0.1,0,0,0,0,2023-06-01,2023-08-31,415083,63194,0.15,259878,0.63,92011,0.22,63194,0.15,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Adrar,2023-03-01,2023-05-31,69526,3536,0.05,56693,0.82,9297,0.13,3536,0.05,0,0,0,0,2023-06-01,2023-08-31,69526,5621,0.08,49881,0.72,14024,0.2,5621,0.08,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Gorgol,2023-03-01,2023-05-31,394859,51190,0.13,242544,0.61,101125,0.26,51190,0.13,0,0,0,0,2023-06-01,2023-08-31,394859,96479,0.25,174651,0.44,123729,0.31,86572,0.22,9907,0.03,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Trarza,2023-03-01,2023-05-31,321809,14996,0.05,263283,0.82,43529,0.14,14996,0.05,0,0,0,0,2023-06-01,2023-08-31,321809,25161,0.08,229757,0.71,66892,0.21,25161,0.08,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Dakhlet-Nouadhibou,2023-03-01,2023-05-31,161994,3240,0.02,139315,0.86,19439,0.12,3240,0.02,0,0,0,0,2023-06-01,2023-08-31,161994,4860,0.03,134455,0.83,22679,0.14,4860,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Tiris-Zemmour,2023-03-01,2023-05-31,58899,1957,0.03,48791,0.83,8151,0.14,1957,0.03,0,0,0,0,2023-06-01,2023-08-31,58899,3126,0.05,43646,0.74,12127,0.21,3126,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Hodh Ech Chargi,2023-03-01,2023-05-31,554631,30525,0.05,435917,0.79,88189,0.16,29386,0.05,1139,0,0,0,2023-06-01,2023-08-31,554631,60046,0.11,367335,0.66,127250,0.23,59481,0.11,565,0,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Guidimakha,2023-03-01,2023-05-31,338411,53985,0.16,200609,0.59,83817,0.25,53985,0.16,0,0,0,0,2023-06-01,2023-08-31,338411,77915,0.23,154642,0.46,105854,0.31,67762,0.2,10152,0.03,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Tagant,2023-03-01,2023-05-31,86634,8223,0.09,60473,0.7,17939,0.21,8223,0.09,0,0,0,0,2023-06-01,2023-08-31,86634,14493,0.17,48291,0.56,23850,0.28,13514,0.16,979,0.01,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Brakna,2023-03-01,2023-05-31,337694,23484,0.07,243711,0.72,70500,0.21,23484,0.07,0,0,0,0,2023-06-01,2023-08-31,337694,49297,0.15,211023,0.62,77374,0.23,47394,0.14,1903,0.01,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Hodh El Gharbi,2023-03-01,2023-05-31,346236,35381,0.1,243416,0.7,67439,0.19,35381,0.1,0,0,0,0,2023-06-01,2023-08-31,346236,63478,0.18,204735,0.59,78024,0.23,59007,0.17,4470,0.01,0,0,,,,,,,,,,,,,,,
Mar 2023,MRT,4372039,Inchiri,2023-03-01,2023-05-31,18254,183,0.01,15881,0.87,2190,0.12,183,0.01,0,0,0,0,2023-06-01,2023-08-31,18254,548,0.03,14238,0.78,3468,0.19,548,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Hodh Ech Chargi,2022-03-01,2022-05-31,541134,74756,0.14,321409,0.59,144969,0.27,69589,0.13,5167,0.01,0,0,2022-06-01,2022-08-31,541134,145012,0.27,231587,0.43,164536,0.3,128893,0.24,16118,0.03,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Hodh El Gharbi,2022-03-01,2022-05-31,340578,75652,0.22,165351,0.49,99575,0.29,75652,0.22,0,0,0,0,2022-06-01,2022-08-31,340578,89076,0.26,135750,0.4,115752,0.34,87499,0.26,1577,0,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Adrar,2022-03-01,2022-05-31,60844,9741,0.16,31152,0.51,19951,0.33,9133,0.15,608,0.01,0,0,2022-06-01,2022-08-31,60844,10839,0.18,28459,0.47,21546,0.35,10164,0.17,675,0.01,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Trarza,2022-03-01,2022-05-31,316489,19806,0.06,226438,0.72,70244,0.22,19806,0.06,0,0,0,0,2022-06-01,2022-08-31,316489,29266,0.09,201492,0.64,85731,0.27,28991,0.09,275,0,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Nouakchott,2022-03-01,2022-05-31,1324663,130987,0.1,859843,0.65,333834,0.25,130987,0.1,0,0,0,0,2022-06-01,2022-08-31,1324663,125138,0.09,803213,0.61,396312,0.3,125138,0.09,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Brakna,2022-03-01,2022-05-31,334750,80238,0.24,92537,0.28,161975,0.48,67103,0.2,13135,0.04,0,0,2022-06-01,2022-08-31,334750,90544,0.27,101426,0.3,142780,0.43,75770,0.23,14773,0.04,0,0,,,,,,,,,,,,,,,
Mar 2022,MRT,4372039,Guidimakha,2022-03-01,2022-05-31,330658,81975,0.25,99040,0.3,149642,0.45,72055,0.22,9920,0.03,0,0,2022-06-01,2022-08-31,330658,108428,0.33,123487,0.37,98743,0.3,88588,0.27,19839,0.06,0,0,,,,,,,,,,,,,,,
